Variable,Formula,Social Skills,Attention Switching,Attention to Detail,Communication,Imagination
aq_mother_1,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",+,,,,
aq_mother_2,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,+,,,
aq_mother_3,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,,,-
aq_mother_4,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,+,,,
aq_mother_5,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,+,,
aq_mother_6,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,+,,
aq_mother_7,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,+,
aq_mother_8,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,,,-
aq_mother_9,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,+,,
aq_mother_10,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,-,,,
aq_mother_11,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",-,,,,
aq_mother_12,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,+,,
aq_mother_13,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",+,,,,
aq_mother_14,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,,,-
aq_mother_15,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",+,,,,
aq_mother_16,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,+,,,
aq_mother_17,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,,-,
aq_mother_18,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,+,
aq_mother_19,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,+,,
aq_mother_20,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,,+
aq_mother_21,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,,+
aq_mother_22,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",+,,,,
aq_mother_23,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,+,,
aq_mother_24,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,,,-
aq_mother_25,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,-,,,
aq_mother_26,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,+,
aq_mother_27,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,,-,
aq_mother_28,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,-,,
aq_mother_29,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,-,,
aq_mother_30,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,-,,
aq_mother_31,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,,-,
aq_mother_32,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,-,,,
aq_mother_33,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,+,
aq_mother_34,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,-,,,
aq_mother_35,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,+,
aq_mother_36,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",-,,,,
aq_mother_37,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,-,,,
aq_mother_38,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,,-,
aq_mother_39,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,+,
aq_mother_40,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,,,-
aq_mother_41,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,,+
aq_mother_42,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,,+
aq_mother_43,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,+,,,
aq_mother_44,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",-,,,,
aq_mother_45,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",+,,,,
aq_mother_46,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,+,,,
aq_mother_47,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",-,,,,
aq_mother_48,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",-,,,,
aq_mother_49,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,-,,
aq_mother_50,"if(isblankormissingcode([{var}]),"""",if([{var}]<=1,1,0))",,,,,-
