Variable,Formula,mother_care,mother_overprotection,father_care,father_overprotection
pbi_mother_m_1,"if(isblankormissingcode([{var}]),"""",[{var}])",1,,,
pbi_mother_m_2,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,,,
pbi_mother_m_3,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1,,
pbi_mother_m_4,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,,,
pbi_mother_m_5,"if(isblankormissingcode([{var}]),"""",[{var}])",1,,,
pbi_mother_m_6,"if(isblankormissingcode([{var}]),"""",[{var}])",1,,,
pbi_mother_m_7,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1,,
pbi_mother_m_8,"if(isblankormissingcode([{var}]),"""",[{var}])",,1,,
pbi_mother_m_9,"if(isblankormissingcode([{var}]),"""",[{var}])",,1,,
pbi_mother_m_10,"if(isblankormissingcode([{var}]),"""",[{var}])",,1,,
pbi_mother_m_11,"if(isblankormissingcode([{var}]),"""",[{var}])",1,,,
pbi_mother_m_12,"if(isblankormissingcode([{var}]),"""",[{var}])",1,,,
pbi_mother_m_13,"if(isblankormissingcode([{var}]),"""",[{var}])",,1,,
pbi_mother_m_14,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,,,
pbi_mother_m_15,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1,,
pbi_mother_m_16,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,,,
pbi_mother_m_17,"if(isblankormissingcode([{var}]),"""",[{var}])",1,,,
pbi_mother_m_18,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,,,
pbi_mother_m_19,"if(isblankormissingcode([{var}]),"""",[{var}])",,1,,
pbi_mother_m_20,"if(isblankormissingcode([{var}]),"""",[{var}])",,1,,
pbi_mother_m_21,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1,,
pbi_mother_m_22,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1,,
pbi_mother_m_23,"if(isblankormissingcode([{var}]),"""",[{var}])",,1,,
pbi_mother_m_24,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,,,
pbi_mother_m_25,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1,,
pbi_mother_f_1,"if(isblankormissingcode([{var}]),"""",[{var}])",,,1,
pbi_mother_f_2,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,,-1,
pbi_mother_f_3,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,,,-1
pbi_mother_f_4,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,,-1,
pbi_mother_f_5,"if(isblankormissingcode([{var}]),"""",[{var}])",,,1,
pbi_mother_f_6,"if(isblankormissingcode([{var}]),"""",[{var}])",,,1,
pbi_mother_f_7,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,,,-1
pbi_mother_f_8,"if(isblankormissingcode([{var}]),"""",[{var}])",,,,1
pbi_mother_f_9,"if(isblankormissingcode([{var}]),"""",[{var}])",,,,1
pbi_mother_f_10,"if(isblankormissingcode([{var}]),"""",[{var}])",,,,1
pbi_mother_f_11,"if(isblankormissingcode([{var}]),"""",[{var}])",,,1,
pbi_mother_f_12,"if(isblankormissingcode([{var}]),"""",[{var}])",,,1,
pbi_mother_f_13,"if(isblankormissingcode([{var}]),"""",[{var}])",,,,1
pbi_mother_f_14,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,,-1,
pbi_mother_f_15,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,,,-1
pbi_mother_f_16,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,,-1,
pbi_mother_f_17,"if(isblankormissingcode([{var}]),"""",[{var}])",,,1,
pbi_mother_f_18,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,,-1,
pbi_mother_f_19,"if(isblankormissingcode([{var}]),"""",[{var}])",,,,1
pbi_mother_f_20,"if(isblankormissingcode([{var}]),"""",[{var}])",,,,1
pbi_mother_f_21,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,,,-1
pbi_mother_f_22,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,,,-1
pbi_mother_f_23,"if(isblankormissingcode([{var}]),"""",[{var}])",,,,1
pbi_mother_f_24,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,,-1,
pbi_mother_f_25,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,,,-1
