Variable,Formula,state,trait
stai_mother_1,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,
stai_mother_2,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,
stai_mother_3,"if(isblankormissingcode([{var}]),"""",[{var}])",1,
stai_mother_4,"if(isblankormissingcode([{var}]),"""",[{var}])",1,
stai_mother_5,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,
stai_mother_6,"if(isblankormissingcode([{var}]),"""",[{var}])",1,
stai_mother_7,"if(isblankormissingcode([{var}]),"""",[{var}])",1,
stai_mother_8,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,
stai_mother_9,"if(isblankormissingcode([{var}]),"""",[{var}])",1,
stai_mother_10,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,
stai_mother_11,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,
stai_mother_12,"if(isblankormissingcode([{var}]),"""",[{var}])",1,
stai_mother_13,"if(isblankormissingcode([{var}]),"""",[{var}])",1,
stai_mother_14,"if(isblankormissingcode([{var}]),"""",[{var}])",1,
stai_mother_15,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,
stai_mother_16,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,
stai_mother_17,"if(isblankormissingcode([{var}]),"""",[{var}])",1,
stai_mother_18,"if(isblankormissingcode([{var}]),"""",[{var}])",1,
stai_mother_19,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,
stai_mother_20,"if(isblankormissingcode([{var}]),"""",0-[{var}])",-1,
stai_mother_21,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1
stai_mother_22,"if(isblankormissingcode([{var}]),"""",[{var}])",,1
stai_mother_23,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1
stai_mother_24,"if(isblankormissingcode([{var}]),"""",[{var}])",,1
stai_mother_25,"if(isblankormissingcode([{var}]),"""",[{var}])",,1
stai_mother_26,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1
stai_mother_27,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1
stai_mother_28,"if(isblankormissingcode([{var}]),"""",[{var}])",,1
stai_mother_29,"if(isblankormissingcode([{var}]),"""",[{var}])",,1
stai_mother_30,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1
stai_mother_31,"if(isblankormissingcode([{var}]),"""",[{var}])",,1
stai_mother_32,"if(isblankormissingcode([{var}]),"""",[{var}])",,1
stai_mother_33,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1
stai_mother_34,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1
stai_mother_35,"if(isblankormissingcode([{var}]),"""",[{var}])",,1
stai_mother_36,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1
stai_mother_37,"if(isblankormissingcode([{var}]),"""",[{var}])",,1
stai_mother_38,"if(isblankormissingcode([{var}]),"""",[{var}])",,1
stai_mother_39,"if(isblankormissingcode([{var}]),"""",0-[{var}])",,-1
stai_mother_40,"if(isblankormissingcode([{var}]),"""",[{var}])",,1
